Date/Time,Word Count,en,ja,zh
2021.07.09-14.52.57,310,0,0,310
2021.07.09-15.00.54,310,6,23,310
2021.07.10-18.54.43,310,15,30,310
2021.07.10-19.08.48,238,16,31,238
2021.07.10-19.17.46,238,15,30,238
2021.07.10-19.19.36,238,13,30,238
2021.07.10-19.23.04,238,13,64,238
2021.07.10-19.25.52,238,65,68,238
2021.07.10-19.26.49,238,61,64,238
2021.07.11-18.18.15,310,65,70,310
2021.07.13-19.17.15,338,79,70,338
2021.07.13-19.22.22,338,94,92,338
2021.07.13-20.07.17,364,94,92,364
2021.07.13-20.28.11,364,123,92,364
2021.07.13-20.46.57,386,123,92,386
2021.07.13-20.51.48,386,153,92,386
2021.07.13-21.25.12,391,153,92,391
2021.07.13-21.27.07,391,176,92,391
2021.07.13-22.33.23,721,176,92,721
2021.07.13-22.34.42,721,590,92,721
2021.07.14-17.52.11,728,590,92,728
2021.07.16-01.09.12,738,596,92,738
2021.07.17-12.27.57,756,598,92,756
2021.07.17-14.18.01,761,598,92,761
2021.07.18-18.04.49,949,602,92,949
2021.07.18-18.22.01,948,782,92,948
2021.07.18-19.34.33,952,782,92,952
2021.07.18-20.16.05,974,372,92,974
